Indicator;Country;Date;value
Cases;United States of America;20/01/2015;4
Deaths;United States of America;20/01/2015;1
Deaths;Senegal;20/01/2015;0
Cases;Senegal;21/01/2015;1
Cases;Guinea;21/01/2015;2871
Deaths;Guinea;21/01/2015;1876
Cases;Liberia;21/01/2015;8478
Deaths;Liberia;21/01/2015;3605
Deaths;Mali;21/01/2015;6
Cases;Mali;21/01/2015;8
Cases;Nigeria;21/01/2015;20
Deaths;Nigeria;21/01/2015;8
Deaths;Sierra Leone;21/01/2015;3145
Cases;Sierra Leone;21/01/2015;10340
Cases;Spain;21/01/2015;1
Deaths;Spain;21/01/2015;0
Deaths;United Kingdom;21/01/2015;0
Cases;United Kingdom;21/01/2015;1
Cases;United States of America;21/01/2015;4
Deaths;United States of America;21/01/2015;1
Deaths;Senegal;21/01/2015;0
Cases;Senegal;22/01/2015;1
Cases;Guinea;22/01/2015;2873
Deaths;Guinea;22/01/2015;1879
Cases;Liberia;22/01/2015;8524
Deaths;Liberia;22/01/2015;3636
Deaths;Mali;22/01/2015;6
Cases;Mali;22/01/2015;8
Cases;Nigeria;22/01/2015;20
Deaths;Nigeria;22/01/2015;8
Cases;Sierra Leone;22/01/2015;10362
Deaths;Sierra Leone;22/01/2015;3153
Cases;Spain;22/01/2015;1
Deaths;Spain;22/01/2015;0
Deaths;United Kingdom;22/01/2015;0
Cases;United Kingdom;22/01/2015;1
Cases;United States of America;22/01/2015;4
Deaths;United States of America;22/01/2015;1
Deaths;Senegal;22/01/2015;0
Cases;Senegal;23/01/2015;1
Cases;Guinea;23/01/2015;2873
Deaths;Guinea;23/01/2015;1880
Cases;Liberia;23/01/2015;8524
Deaths;Liberia;23/01/2015;3636
Deaths;Mali;23/01/2015;6
Cases;Mali;23/01/2015;8
Cases;Nigeria;23/01/2015;20
Deaths;Nigeria;23/01/2015;8
Deaths;Sierra Leone;23/01/2015;3159
Cases;Sierra Leone;23/01/2015;10400
Cases;Spain;23/01/2015;1
Deaths;Spain;23/01/2015;0
Deaths;United Kingdom;23/01/2015;0
Cases;United Kingdom;23/01/2015;1
Cases;United States of America;23/01/2015;4
Deaths;United States of America;23/01/2015;1
Deaths;Senegal;23/01/2015;0
Cases;Senegal;26/01/2015;1
Cases;Guinea;26/01/2015;2909
Deaths;Guinea;26/01/2015;1906
Cases;Liberia;26/01/2015;8524
Deaths;Liberia;26/01/2015;3636
Deaths;Mali;26/01/2015;6
Cases;Mali;26/01/2015;8
Cases;Nigeria;26/01/2015;20
Deaths;Nigeria;26/01/2015;8
Cases;Sierra Leone;26/01/2015;10491
Deaths;Sierra Leone;26/01/2015;3195
Cases;Spain;26/01/2015;1
Deaths;Spain;26/01/2015;0
Deaths;United Kingdom;26/01/2015;0
Cases;United Kingdom;26/01/2015;1
Cases;United States of America;26/01/2015;4
Deaths;United States of America;26/01/2015;1
Deaths;Senegal;26/01/2015;0
Cases;Senegal;27/01/2015;1
Deaths;Guinea;27/01/2015;1910
Cases;Guinea;27/01/2015;2917
Cases;Liberia;27/01/2015;8622
Deaths;Liberia;27/01/2015;3686
Deaths;Mali;27/01/2015;6
Cases;Mali;27/01/2015;8
Cases;Nigeria;27/01/2015;20
Deaths;Nigeria;27/01/2015;8
Deaths;Sierra Leone;27/01/2015;3199
Cases;Sierra Leone;27/01/2015;10518
Cases;Spain;27/01/2015;1
Deaths;Spain;27/01/2015;0
Deaths;United Kingdom;27/01/2015;0
Cases;United Kingdom;27/01/2015;1
Cases;United States of America;27/01/2015;4
Deaths;United States of America;27/01/2015;1
Deaths;Senegal;27/01/2015;0
Cases;Senegal;28/01/2015;1
Deaths;Guinea;28/01/2015;1910
Cases;Guinea;28/01/2015;2917
Cases;Liberia;28/01/2015;8622
Deaths;Liberia;28/01/2015;3686
Deaths;Mali;28/01/2015;6
Cases;Mali;28/01/2015;8
Cases;Nigeria;28/01/2015;20
Deaths;Nigeria;28/01/2015;8
Cases;Sierra Leone;28/01/2015;10518
Deaths;Sierra Leone;28/01/2015;3199
Cases;Spain;28/01/2015;1
Deaths;Spain;28/01/2015;0
Deaths;United Kingdom;28/01/2015;0
Cases;United Kingdom;28/01/2015;1
Cases;United States of America;28/01/2015;4
Deaths;United States of America;28/01/2015;1
Deaths;Senegal;28/01/2015;0
Cases;Senegal;29/01/2015;1
Cases;Guinea;29/01/2015;2921
Deaths;Guinea;29/01/2015;1911
Cases;Liberia;29/01/2015;8643
Deaths;Liberia;29/01/2015;3700
Deaths;Mali;29/01/2015;6
Cases;Mali;29/01/2015;8
Cases;Nigeria;29/01/2015;20
Deaths;Nigeria;29/01/2015;8
Cases;Sierra Leone;29/01/2015;10537
Deaths;Sierra Leone;29/01/2015;3207
Cases;Spain;29/01/2015;1
Deaths;Spain;29/01/2015;0
Deaths;United Kingdom;29/01/2015;0
Cases;United Kingdom;29/01/2015;1
Cases;United States of America;29/01/2015;4
Deaths;United States of America;29/01/2015;1
Deaths;Senegal;29/01/2015;0
Cases;Senegal;30/01/2015;1
Cases;Guinea;30/01/2015;2920
Deaths;Guinea;30/01/2015;1913
Cases;Liberia;30/01/2015;8643
Deaths;Liberia;30/01/2015;3700
Deaths;Mali;30/01/2015;6
Cases;Mali;30/01/2015;8
Cases;Nigeria;30/01/2015;20
Deaths;Nigeria;30/01/2015;8
Cases;Sierra Leone;30/01/2015;10561
Deaths;Sierra Leone;30/01/2015;3216
Cases;Spain;30/01/2015;1
Deaths;Spain;30/01/2015;0
Deaths;United Kingdom;30/01/2015;0
Cases;United Kingdom;30/01/2015;1
Cases;United States of America;30/01/2015;4
Deaths;United States of America;30/01/2015;1
Deaths;Senegal;30/01/2015;0
Cases;Senegal;2/02/2015;1
Cases;Guinea;2/02/2015;2959
Deaths;Guinea;2/02/2015;1937
Cases;Liberia;2/02/2015;8668
Deaths;Liberia;2/02/2015;3710
Deaths;Mali;2/02/2015;6
Cases;Mali;2/02/2015;8
Cases;Nigeria;2/02/2015;20
Deaths;Nigeria;2/02/2015;8
Cases;Sierra Leone;2/02/2015;10707
Deaths;Sierra Leone;2/02/2015;3274
Cases;Spain;2/02/2015;1
Deaths;Spain;2/02/2015;0
Deaths;United Kingdom;2/02/2015;0
Cases;United Kingdom;2/02/2015;1
Cases;United States of America;2/02/2015;4
Deaths;United States of America;2/02/2015;1
Deaths;Senegal;2/02/2015;0
Cases;Senegal;3/02/2015;1
Cases;Guinea;3/02/2015;2975
Deaths;Guinea;3/02/2015;1944
Cases;Liberia;3/02/2015;8729
Deaths;Liberia;3/02/2015;3739
Deaths;Mali;3/02/2015;6
Cases;Mali;3/02/2015;8
Cases;Nigeria;3/02/2015;20
Deaths;Nigeria;3/02/2015;8
Cases;Sierra Leone;3/02/2015;10740
Deaths;Sierra Leone;3/02/2015;3276
Cases;Spain;3/02/2015;1
Deaths;Spain;3/02/2015;0
Deaths;United Kingdom;3/02/2015;0
Cases;United Kingdom;3/02/2015;1
Cases;United States of America;3/02/2015;4
Deaths;United States of America;3/02/2015;1
Deaths;Senegal;3/02/2015;0
Cases;Senegal;4/02/2015;1
Cases;Guinea;4/02/2015;2975
Deaths;Guinea;4/02/2015;1944
Cases;Liberia;4/02/2015;8745
Deaths;Liberia;4/02/2015;3746
Deaths;Mali;4/02/2015;6
Cases;Mali;4/02/2015;8
Cases;Nigeria;4/02/2015;20
Deaths;Nigeria;4/02/2015;8
Cases;Sierra Leone;4/02/2015;10740
Deaths;Sierra Leone;4/02/2015;3276
Cases;Spain;4/02/2015;1
Deaths;Spain;4/02/2015;0
Deaths;United Kingdom;4/02/2015;0
Cases;United Kingdom;4/02/2015;1
Cases;United States of America;4/02/2015;4
Deaths;United States of America;4/02/2015;1
Deaths;Senegal;4/02/2015;0
Cases;Senegal;5/02/2015;1
Cases;Guinea;5/02/2015;2986
Deaths;Guinea;5/02/2015;1947
Cases;Liberia;5/02/2015;8745
Deaths;Liberia;5/02/2015;3746
Deaths;Mali;5/02/2015;6
Cases;Mali;5/02/2015;8
Cases;Nigeria;5/02/2015;20
Deaths;Nigeria;5/02/2015;8
Cases;Sierra Leone;5/02/2015;10756
Deaths;Sierra Leone;5/02/2015;3286
Cases;Spain;5/02/2015;1
Deaths;Spain;5/02/2015;0
Deaths;United Kingdom;5/02/2015;0
Cases;United Kingdom;5/02/2015;1
Cases;United States of America;5/02/2015;4
Deaths;United States of America;5/02/2015;1
Deaths;Senegal;5/02/2015;0
Cases;Senegal;6/02/2015;1
Cases;Guinea;6/02/2015;2988
Deaths;Guinea;6/02/2015;1957
Cases;Liberia;6/02/2015;8745
Deaths;Liberia;6/02/2015;3746
Deaths;Mali;6/02/2015;6
Cases;Mali;6/02/2015;8
Cases;Nigeria;6/02/2015;20
Deaths;Nigeria;6/02/2015;8
Cases;Sierra Leone;6/02/2015;10792
Deaths;Sierra Leone;6/02/2015;3301
Cases;Spain;6/02/2015;1
Deaths;Spain;6/02/2015;0
Deaths;United Kingdom;6/02/2015;0
Cases;United Kingdom;6/02/2015;1
Cases;United States of America;6/02/2015;4
Deaths;United States of America;6/02/2015;1
Deaths;Senegal;6/02/2015;0
Cases;Senegal;10/02/2015;1
Cases;Guinea;10/02/2015;3044
Deaths;Guinea;10/02/2015;1995
Cases;Liberia;10/02/2015;8881
Deaths;Liberia;10/02/2015;3826
Deaths;Mali;10/02/2015;6
Cases;Mali;10/02/2015;8
Cases;Nigeria;10/02/2015;20
Deaths;Nigeria;10/02/2015;8
Cases;Sierra Leone;10/02/2015;10934
Deaths;Sierra Leone;10/02/2015;3341
Cases;Spain;10/02/2015;1
Deaths;Spain;10/02/2015;0
Deaths;United Kingdom;10/02/2015;0
Cases;United Kingdom;10/02/2015;1
Cases;United States of America;10/02/2015;4
Deaths;United States of America;10/02/2015;1
Deaths;Senegal;10/02/2015;0
Cases;Senegal;11/02/2015;1
Cases;Guinea;11/02/2015;3044
Deaths;Guinea;11/02/2015;1995
Cases;Liberia;11/02/2015;8881
Deaths;Liberia;11/02/2015;3826
Deaths;Mali;11/02/2015;6
Cases;Mali;11/02/2015;8
Cases;Nigeria;11/02/2015;20
Deaths;Nigeria;11/02/2015;8
Cases;Sierra Leone;11/02/2015;10934
Deaths;Sierra Leone;11/02/2015;3341
Cases;Spain;11/02/2015;1
Deaths;Spain;11/02/2015;0
Deaths;United Kingdom;11/02/2015;0
Cases;United Kingdom;11/02/2015;1
Cases;United States of America;11/02/2015;4
Deaths;United States of America;11/02/2015;1
Deaths;Senegal;11/02/2015;0
Cases;Senegal;12/02/2015;1
Cases;Guinea;12/02/2015;3068
Deaths;Guinea;12/02/2015;2018
Cases;Liberia;12/02/2015;8881
Deaths;Liberia;12/02/2015;3826
Deaths;Mali;12/02/2015;6
Cases;Mali;12/02/2015;8
Cases;Nigeria;12/02/2015;20
Deaths;Nigeria;12/02/2015;8
Cases;Sierra Leone;12/02/2015;10954
Deaths;Sierra Leone;12/02/2015;3350
Cases;Spain;12/02/2015;1
Deaths;Spain;12/02/2015;0
Deaths;United Kingdom;12/02/2015;0
Cases;United Kingdom;12/02/2015;1
Cases;United States of America;12/02/2015;4
Deaths;United States of America;12/02/2015;1
Deaths;Senegal;12/02/2015;0
Cases;Senegal;13/02/2015;1
Cases;Guinea;13/02/2015;3081
Deaths;Guinea;13/02/2015;2032
Cases;Liberia;13/02/2015;8931
Deaths;Liberia;13/02/2015;3858
Deaths;Mali;13/02/2015;6
Cases;Mali;13/02/2015;8
Cases;Nigeria;13/02/2015;20
Deaths;Nigeria;13/02/2015;8
Cases;Sierra Leone;13/02/2015;10987
Deaths;Sierra Leone;13/02/2015;3363
Cases;Spain;13/02/2015;1
Deaths;Spain;13/02/2015;0
Deaths;United Kingdom;13/02/2015;0
Cases;United Kingdom;13/02/2015;1
Cases;United States of America;13/02/2015;4
Deaths;United States of America;13/02/2015;1
Deaths;Senegal;13/02/2015;0
Cases;Senegal;16/02/2015;1
Cases;Guinea;16/02/2015;3101
Deaths;Guinea;16/02/2015;2052
Cases;Liberia;16/02/2015;9007
Deaths;Liberia;16/02/2015;3900
Deaths;Mali;16/02/2015;6
Cases;Mali;16/02/2015;8
Cases;Nigeria;16/02/2015;20
Deaths;Nigeria;16/02/2015;8
Cases;Sierra Leone;16/02/2015;11074
Deaths;Sierra Leone;16/02/2015;3401
Cases;Spain;16/02/2015;1
Deaths;Spain;16/02/2015;0
Deaths;United Kingdom;16/02/2015;0
Cases;United Kingdom;16/02/2015;1
Cases;United States of America;16/02/2015;4
Deaths;United States of America;16/02/2015;1
Deaths;Senegal;16/02/2015;0
Cases;Senegal;17/02/2015;1
Cases;Guinea;17/02/2015;3108
Deaths;Guinea;17/02/2015;2057
Cases;Liberia;17/02/2015;9007
Deaths;Liberia;17/02/2015;3900
Deaths;Mali;17/02/2015;6
Cases;Mali;17/02/2015;8
Cases;Nigeria;17/02/2015;20
Deaths;Nigeria;17/02/2015;8
Cases;Sierra Leone;17/02/2015;11103
Deaths;Sierra Leone;17/02/2015;3408
Cases;Spain;17/02/2015;1
Deaths;Spain;17/02/2015;0
Deaths;United Kingdom;17/02/2015;0
Cases;United Kingdom;17/02/2015;1
Cases;United States of America;17/02/2015;4
Deaths;United States of America;17/02/2015;1
Deaths;Senegal;17/02/2015;0
Cases;Senegal;18/02/2015;1
Cases;Guinea;18/02/2015;3108
Deaths;Guinea;18/02/2015;2057
Cases;Liberia;18/02/2015;9007
Deaths;Liberia;18/02/2015;3900
Deaths;Mali;18/02/2015;6
Cases;Mali;18/02/2015;8
Cases;Nigeria;18/02/2015;20
Deaths;Nigeria;18/02/2015;8
Deaths;Sierra Leone;18/02/2015;3408
Cases;Sierra Leone;18/02/2015;11103
Cases;Spain;18/02/2015;1
Deaths;Spain;18/02/2015;0
Deaths;United Kingdom;18/02/2015;0
Cases;United Kingdom;18/02/2015;1
Cases;United States of America;18/02/2015;4
Deaths;United States of America;18/02/2015;1
Deaths;Senegal;18/02/2015;0
Cases;Senegal;19/02/2015;1
Cases;Guinea;19/02/2015;3115
Deaths;Guinea;19/02/2015;2067
Cases;Liberia;19/02/2015;9096
Deaths;Liberia;19/02/2015;3947
Deaths;Mali;19/02/2015;6
Cases;Mali;19/02/2015;8
Cases;Nigeria;19/02/2015;20
Deaths;Nigeria;19/02/2015;8
Cases;Sierra Leone;19/02/2015;11155
Deaths;Sierra Leone;19/02/2015;3423
Cases;Spain;19/02/2015;1
Deaths;Spain;19/02/2015;0
Deaths;United Kingdom;19/02/2015;0
Cases;United Kingdom;19/02/2015;1
Cases;United States of America;19/02/2015;4
Deaths;United States of America;19/02/2015;1
Deaths;Senegal;19/02/2015;0
Cases;Senegal;20/02/2015;1
Cases;Guinea;20/02/2015;3120
Deaths;Guinea;20/02/2015;2072
Cases;Liberia;20/02/2015;9096
Deaths;Liberia;20/02/2015;3947
Deaths;Mali;20/02/2015;6
Cases;Mali;20/02/2015;8
Cases;Nigeria;20/02/2015;20
Deaths;Nigeria;20/02/2015;8
Cases;Sierra Leone;20/02/2015;11155
Deaths;Sierra Leone;20/02/2015;3423
Cases;Spain;20/02/2015;1
Deaths;Spain;20/02/2015;0
Deaths;United Kingdom;20/02/2015;0
Cases;United Kingdom;20/02/2015;1
Cases;United States of America;20/02/2015;4
Deaths;United States of America;20/02/2015;1
Deaths;Senegal;20/02/2015;0
Cases;Senegal;23/02/2015;1
Cases;Guinea;23/02/2015;3155
Deaths;Guinea;23/02/2015;2086
Cases;Liberia;23/02/2015;9229
Deaths;Liberia;23/02/2015;4032
Deaths;Mali;23/02/2015;6
Cases;Mali;23/02/2015;8
Cases;Nigeria;23/02/2015;20
Deaths;Nigeria;23/02/2015;8
Cases;Sierra Leone;23/02/2015;11155
Deaths;Sierra Leone;23/02/2015;3423
Cases;Spain;23/02/2015;1
Deaths;Spain;23/02/2015;0
Deaths;United Kingdom;23/02/2015;0
Cases;United Kingdom;23/02/2015;1
Cases;United States of America;23/02/2015;4
Deaths;United States of America;23/02/2015;1
Deaths;Senegal;23/02/2015;0
Cases;Senegal;25/02/2015;1
Cases;Guinea;25/02/2015;3155
Deaths;Guinea;25/02/2015;2091
Cases;Liberia;25/02/2015;9238
Deaths;Liberia;25/02/2015;4037
Deaths;Mali;25/02/2015;6
Cases;Mali;25/02/2015;8
Cases;Nigeria;25/02/2015;20
Deaths;Nigeria;25/02/2015;8
Deaths;Sierra Leone;25/02/2015;3461
Cases;Sierra Leone;25/02/2015;11301
Cases;Spain;25/02/2015;1
Deaths;Spain;25/02/2015;0
Deaths;United Kingdom;25/02/2015;0
Cases;United Kingdom;25/02/2015;1
Cases;United States of America;25/02/2015;4
Deaths;United States of America;25/02/2015;1
Deaths;Senegal;25/02/2015;0
Cases;Senegal;26/02/2015;1
Cases;Guinea;26/02/2015;3175
Deaths;Guinea;26/02/2015;2101
Cases;Liberia;26/02/2015;9265
Deaths;Liberia;26/02/2015;4057
Deaths;Mali;26/02/2015;6
Cases;Mali;26/02/2015;8
Cases;Nigeria;26/02/2015;20
Deaths;Nigeria;26/02/2015;8
Cases;Sierra Leone;26/02/2015;11341
Deaths;Sierra Leone;26/02/2015;3479
Cases;Spain;26/02/2015;1
Deaths;Spain;26/02/2015;0
Deaths;United Kingdom;26/02/2015;0
Cases;United Kingdom;26/02/2015;1
Cases;United States of America;26/02/2015;4
Deaths;United States of America;26/02/2015;1
Deaths;Senegal;26/02/2015;0
Cases;Senegal;27/02/2015;1
Cases;Guinea;27/02/2015;3190
Deaths;Guinea;27/02/2015;2113
Cases;Liberia;27/02/2015;9265
Deaths;Liberia;27/02/2015;4057
Deaths;Mali;27/02/2015;6
Cases;Mali;27/02/2015;8
Cases;Nigeria;27/02/2015;20
Deaths;Nigeria;27/02/2015;8
Cases;Sierra Leone;27/02/2015;11370
Deaths;Sierra Leone;27/02/2015;3490
Cases;Spain;27/02/2015;1
Deaths;Spain;27/02/2015;0
Deaths;United Kingdom;27/02/2015;0
Cases;United Kingdom;27/02/2015;1
Cases;United States of America;27/02/2015;4
Deaths;United States of America;27/02/2015;1
Deaths;Senegal;27/02/2015;0
Cases;Senegal;2/03/2015;1
Cases;Guinea;2/03/2015;3205
Deaths;Guinea;2/03/2015;2127
Cases;Liberia;2/03/2015;9265
Deaths;Liberia;2/03/2015;4057
Deaths;Mali;2/03/2015;6
Cases;Mali;2/03/2015;8
Cases;Nigeria;2/03/2015;20
Deaths;Nigeria;2/03/2015;8
Cases;Sierra Leone;2/03/2015;11443
Deaths;Sierra Leone;2/03/2015;3530
Cases;Spain;2/03/2015;1
Deaths;Spain;2/03/2015;0
Deaths;United Kingdom;2/03/2015;0
Cases;United Kingdom;2/03/2015;1
Cases;United States of America;2/03/2015;4
Deaths;United States of America;2/03/2015;1
Deaths;Senegal;2/03/2015;0
Cases;Senegal;4/03/2015;1
Cases;Guinea;4/03/2015;3205
Deaths;Guinea;4/03/2015;2127
Cases;Liberia;4/03/2015;9265
Deaths;Liberia;4/03/2015;4057
Deaths;Mali;4/03/2015;6
Cases;Mali;4/03/2015;8
Cases;Nigeria;4/03/2015;20
Deaths;Nigeria;4/03/2015;8
Cases;Sierra Leone;4/03/2015;11443
Deaths;Sierra Leone;4/03/2015;3530
Cases;Spain;4/03/2015;1
Deaths;Spain;4/03/2015;0
Deaths;United Kingdom;4/03/2015;0
Cases;United Kingdom;4/03/2015;1
Cases;United States of America;4/03/2015;4
Deaths;United States of America;4/03/2015;1
Deaths;Senegal;4/03/2015;0
Cases;Senegal;5/03/2015;1
Cases;Guinea;5/03/2015;3237
Deaths;Guinea;5/03/2015;2141
Cases;Liberia;5/03/2015;9249
Deaths;Liberia;5/03/2015;4117
Deaths;Mali;5/03/2015;6
Cases;Mali;5/03/2015;8
Cases;Nigeria;5/03/2015;20
Deaths;Nigeria;5/03/2015;8
Cases;Sierra Leone;5/03/2015;11497
Deaths;Sierra Leone;5/03/2015;3565
Cases;Spain;5/03/2015;1
Deaths;Spain;5/03/2015;0
Deaths;United Kingdom;5/03/2015;0
Cases;United Kingdom;5/03/2015;1
Cases;United States of America;5/03/2015;4
Deaths;United States of America;5/03/2015;1
Deaths;Senegal;5/03/2015;0
Cases;Senegal;6/03/2015;1
Cases;Guinea;6/03/2015;3248
Deaths;Guinea;6/03/2015;2147
Cases;Liberia;6/03/2015;9249
Deaths;Liberia;6/03/2015;4117
Deaths;Mali;6/03/2015;6
Cases;Mali;6/03/2015;8
Cases;Nigeria;6/03/2015;20
Deaths;Nigeria;6/03/2015;8
Cases;Sierra Leone;6/03/2015;11517
Deaths;Sierra Leone;6/03/2015;3576
Cases;Spain;6/03/2015;1
Deaths;Spain;6/03/2015;0
Deaths;United Kingdom;6/03/2015;0
Cases;United Kingdom;6/03/2015;1
Cases;United States of America;6/03/2015;4
Deaths;United States of America;6/03/2015;1
Deaths;Senegal;6/03/2015;0
Cases;Senegal;10/03/2015;1
Cases;Guinea;10/03/2015;3285
Deaths;Guinea;10/03/2015;2170
Cases;Liberia;10/03/2015;9343
Deaths;Liberia;10/03/2015;4162
Deaths;Mali;10/03/2015;6
Cases;Mali;10/03/2015;8
Cases;Nigeria;10/03/2015;20
Deaths;Nigeria;10/03/2015;8
Cases;Sierra Leone;10/03/2015;11619
Deaths;Sierra Leone;10/03/2015;3629
Cases;Spain;10/03/2015;1
Deaths;Spain;10/03/2015;0
Deaths;United Kingdom;10/03/2015;0
Cases;United Kingdom;10/03/2015;1
Cases;United States of America;10/03/2015;4
Deaths;United States of America;10/03/2015;1
Deaths;Senegal;10/03/2015;0
Cases;Senegal;11/03/2015;1
Deaths;Guinea;11/03/2015;2170
Cases;Guinea;11/03/2015;3285
Deaths;Liberia;11/03/2015;4162
Cases;Liberia;11/03/2015;9343
Deaths;Mali;11/03/2015;6
Cases;Mali;11/03/2015;8
Cases;Nigeria;11/03/2015;20
Deaths;Nigeria;11/03/2015;8
Cases;Sierra Leone;11/03/2015;11619
Deaths;Sierra Leone;11/03/2015;3629
Cases;Spain;11/03/2015;1
Deaths;Spain;11/03/2015;0
Deaths;United Kingdom;11/03/2015;0
Cases;United Kingdom;11/03/2015;1
Cases;United States of America;11/03/2015;4
Deaths;United States of America;11/03/2015;1
Deaths;Senegal;11/03/2015;0
Cases;Senegal;12/03/2015;1
Cases;Guinea;12/03/2015;3330
Deaths;Guinea;12/03/2015;2187
Cases;Liberia;12/03/2015;9343
Deaths;Liberia;12/03/2015;4162
Deaths;Mali;12/03/2015;6
Cases;Mali;12/03/2015;8
Cases;Nigeria;12/03/2015;20
Deaths;Nigeria;12/03/2015;8
Cases;Sierra Leone;12/03/2015;11677
Deaths;Sierra Leone;12/03/2015;3655
Cases;Spain;12/03/2015;1
Deaths;Spain;12/03/2015;0
Deaths;United Kingdom;12/03/2015;0
Cases;United Kingdom;12/03/2015;1
Cases;United States of America;12/03/2015;4
Deaths;United States of America;12/03/2015;1
Deaths;Senegal;12/03/2015;0
Cases;Senegal;13/03/2015;1
Cases;Guinea;13/03/2015;3331
Deaths;Guinea;13/03/2015;2192
Cases;Liberia;13/03/2015;9482
Deaths;Liberia;13/03/2015;4241
Deaths;Mali;13/03/2015;6
Cases;Mali;13/03/2015;8
Cases;Nigeria;13/03/2015;20
Deaths;Nigeria;13/03/2015;8
Cases;Sierra Leone;13/03/2015;11696
Deaths;Sierra Leone;13/03/2015;3663
Cases;Spain;13/03/2015;1
Deaths;Spain;13/03/2015;0
Deaths;United Kingdom;13/03/2015;0
Cases;United Kingdom;13/03/2015;1
Cases;United States of America;13/03/2015;4
Deaths;United States of America;13/03/2015;1
Deaths;Senegal;13/03/2015;0
Cases;Senegal;16/03/2015;1
Cases;Guinea;16/03/2015;3373
Deaths;Guinea;16/03/2015;2216
Cases;Liberia;16/03/2015;9482
Deaths;Liberia;16/03/2015;4241
Deaths;Mali;16/03/2015;6
Cases;Mali;16/03/2015;8
Cases;Nigeria;16/03/2015;20
Deaths;Nigeria;16/03/2015;8
Cases;Sierra Leone;16/03/2015;11742
Deaths;Sierra Leone;16/03/2015;3687
Cases;Spain;16/03/2015;1
Deaths;Spain;16/03/2015;0
Deaths;United Kingdom;16/03/2015;0
Cases;United Kingdom;16/03/2015;1
Cases;United States of America;16/03/2015;4
Deaths;United States of America;16/03/2015;1
Deaths;Senegal;16/03/2015;0
Cases;Senegal;17/03/2015;1
Cases;Guinea;17/03/2015;3389
Deaths;Guinea;17/03/2015;2224
Cases;Liberia;17/03/2015;9526
Deaths;Liberia;17/03/2015;4264
Deaths;Mali;17/03/2015;6
Cases;Mali;17/03/2015;8
Cases;Nigeria;17/03/2015;20
Deaths;Nigeria;17/03/2015;8
Cases;Sierra Leone;17/03/2015;11751
Deaths;Sierra Leone;17/03/2015;3691
Cases;Spain;17/03/2015;1
Deaths;Spain;17/03/2015;0
Deaths;United Kingdom;17/03/2015;0
Cases;United Kingdom;17/03/2015;1
Cases;United States of America;17/03/2015;4
Deaths;United States of America;17/03/2015;1
Deaths;Senegal;17/03/2015;0
Cases;Senegal;18/03/2015;1
Cases;Guinea;18/03/2015;3389
Deaths;Guinea;18/03/2015;2224
Cases;Liberia;18/03/2015;9526
Deaths;Liberia;18/03/2015;4264
Deaths;Mali;18/03/2015;6
Cases;Mali;18/03/2015;8
Cases;Nigeria;18/03/2015;20
Deaths;Nigeria;18/03/2015;8
Cases;Sierra Leone;18/03/2015;11751
Deaths;Sierra Leone;18/03/2015;3691
Cases;Spain;18/03/2015;1
Deaths;Spain;18/03/2015;0
Deaths;United Kingdom;18/03/2015;0
Cases;United Kingdom;18/03/2015;1
Cases;United States of America;18/03/2015;4
Deaths;United States of America;18/03/2015;1
Deaths;Senegal;18/03/2015;0
Cases;Senegal;20/03/2015;1
Cases;Guinea;20/03/2015;3404
Deaths;Guinea;20/03/2015;2241
Cases;Liberia;20/03/2015;9555
Deaths;Liberia;20/03/2015;4283
Deaths;Mali;20/03/2015;6
Cases;Mali;20/03/2015;8
Cases;Nigeria;20/03/2015;20
Deaths;Nigeria;20/03/2015;8
Cases;Sierra Leone;20/03/2015;11794
Deaths;Sierra Leone;20/03/2015;3712
Cases;Spain;20/03/2015;1
Deaths;Spain;20/03/2015;0
Deaths;United Kingdom;20/03/2015;0
Cases;United Kingdom;20/03/2015;1
Cases;United States of America;20/03/2015;4
Deaths;United States of America;20/03/2015;1
Deaths;Senegal;20/03/2015;0
Cases;Senegal;23/03/2015;1
Cases;Guinea;23/03/2015;3420
Deaths;Guinea;23/03/2015;2261
Cases;Liberia;23/03/2015;9593
Deaths;Liberia;23/03/2015;4296
Deaths;Mali;23/03/2015;6
Cases;Mali;23/03/2015;8
Cases;Nigeria;23/03/2015;20
Deaths;Nigeria;23/03/2015;8
Cases;Sierra Leone;23/03/2015;11829
Deaths;Sierra Leone;23/03/2015;3742
Cases;Spain;23/03/2015;1
Deaths;Spain;23/03/2015;0
Deaths;United Kingdom;23/03/2015;0
Cases;United Kingdom;23/03/2015;1
Cases;United States of America;23/03/2015;4
Deaths;United States of America;23/03/2015;1
Deaths;Senegal;23/03/2015;0
Cases;Senegal;24/03/2015;1
Cases;Guinea;24/03/2015;3429
Deaths;Guinea;24/03/2015;2263
Cases;Liberia;24/03/2015;9602
Deaths;Liberia;24/03/2015;4301
Deaths;Mali;24/03/2015;6
Cases;Mali;24/03/2015;8
Cases;Nigeria;24/03/2015;20
Deaths;Nigeria;24/03/2015;8
Cases;Sierra Leone;24/03/2015;11841
Deaths;Sierra Leone;24/03/2015;3747
Cases;Spain;24/03/2015;1
Deaths;Spain;24/03/2015;0
Deaths;United Kingdom;24/03/2015;0
Cases;United Kingdom;24/03/2015;1
Cases;United States of America;24/03/2015;4
Deaths;United States of America;24/03/2015;1
Deaths;Senegal;24/03/2015;0
Cases;Senegal;25/03/2015;1
Deaths;Guinea;25/03/2015;2263
